topic,publication_count,percentage
Molecular Junctions and Nanostructures,55,0.11
Substance Abuse Treatment and Outcomes,55,0.11
Crystallography and molecular interactions,55,0.11
Cholinesterase and Neurodegenerative Diseases,55,0.11
Telemedicine and Telehealth Implementation,55,0.11
Click Chemistry and Applications,55,0.11
Peripheral Neuropathies and Disorders,55,0.11
Radio Astronomy Observations and Technology,54,0.11
Psychology of Moral and Emotional Judgment,54,0.11
Antifungal resistance and susceptibility,54,0.11
Traumatic Brain Injury Research,54,0.11
Neurotransmitter Receptor Influence on Behavior,54,0.11
Suicide and Self-Harm Studies,54,0.11
Healthcare Policy and Management,54,0.11
Water Quality Monitoring Technologies,53,0.11
Digital Platforms and Economics,53,0.11
Analytical chemistry methods development,53,0.11
Climate Change Communication and Perception,53,0.11
"Gout, Hyperuricemia, Uric Acid",53,0.11
Redox biology and oxidative stress,53,0.11
Radiopharmaceutical Chemistry and Applications,53,0.11
Innovative Teaching and Learning Methods,53,0.11
IoT Networks and Protocols,53,0.11
Maternal Mental Health During Pregnancy and Postpartum,53,0.11
Sirtuins and Resveratrol in Medicine,53,0.11
Emotion and Mood Recognition,53,0.11
"Auditing, Earnings Management, Governance",53,0.11
Technology-Enhanced Education Studies,53,0.11
Consumer Retail Behavior Studies,52,0.1
Supramolecular Self-Assembly in Materials,52,0.1
Peatlands and Wetlands Ecology,52,0.1
Electron and X-Ray Spectroscopy Techniques,52,0.1
Fibromyalgia and Chronic Fatigue Syndrome Research,52,0.1
Viral Infectious Diseases and Gene Expression in Insects,52,0.1
Bone Metabolism and Diseases,52,0.1
CCD and CMOS Imaging Sensors,52,0.1
Multiferroics and related materials,52,0.1
Polymer Surface Interaction Studies,52,0.1
Plant responses to water stress,52,0.1
Smart Cities and Technologies,52,0.1
Opinion Dynamics and Social Influence,52,0.1
Political Economy and Marxism,52,0.1
Natural Fiber Reinforced Composites,51,0.1
Innovative concrete reinforcement materials,51,0.1
Nanopore and Nanochannel Transport Studies,51,0.1
Digital Economy and Work Transformation,51,0.1
Advanced Glycation End Products research,51,0.1
Advanced Fluorescence Microscopy Techniques,51,0.1
Child Abuse and Trauma,51,0.1
Sustainability and Climate Change Governance,51,0.1
Mobile Crowdsensing and Crowdsourcing,51,0.1
Social and Intergroup Psychology,51,0.1
Smart Grid Security and Resilience,50,0.1
Flexible and Reconfigurable Manufacturing Systems,50,0.1
Resilience and Mental Health,50,0.1
Asymmetric Hydrogenation and Catalysis,50,0.1
Advanced materials and composites,50,0.1
Sodium Intake and Health,50,0.1
Pharmacogenetics and Drug Metabolism,50,0.1
Antiplatelet Therapy and Cardiovascular Diseases,50,0.1
Pain Mechanisms and Treatments,50,0.1
Cytomegalovirus and herpesvirus research,50,0.1
Astro and Planetary Science,50,0.1
High-pressure geophysics and materials,50,0.1
Allergic Rhinitis and Sensitization,50,0.1
Hate Speech and Cyberbullying Detection,50,0.1
Indoor and Outdoor Localization Technologies,49,0.1
Cold Atom Physics and Bose-Einstein Condensates,49,0.1
Neuroendocrine Tumor Research Advances,49,0.1
Eating Disorders and Behaviors,49,0.1
Solar Radiation and Photovoltaics,49,0.1
Glycosylation and Glycoproteins Research,49,0.1
Primary Care and Health Outcomes,49,0.1
Hydrological Forecasting Using AI,49,0.1
Iron Metabolism and Disorders,49,0.1
Psychometric Methodologies and Testing,49,0.1
Consumer Attitudes and Food Labeling,49,0.1
Environmental DNA in Biodiversity Studies,48,0.1
Cellular and Composite Structures,48,0.1
CO2 Sequestration and Geologic Interactions,48,0.1
Sustainable Industrial Ecology,48,0.1
Non-Invasive Vital Sign Monitoring,48,0.1
Cancer therapeutics and mechanisms,48,0.1
Dermatological and COVID-19 studies,48,0.1
Machine Learning and Algorithms,48,0.1
Heart Rate Variability and Autonomic Control,48,0.1
Advanced Fiber Laser Technologies,48,0.1
Attention Deficit Hyperactivity Disorder,48,0.1
Healthcare and Environmental Waste Management,48,0.1
Gaussian Processes and Bayesian Inference,48,0.1
Cardiac electrophysiology and arrhythmias,47,0.09
Soft Robotics and Applications,47,0.09
Pain Management and Opioid Use,47,0.09
Ga2O3 and related materials,47,0.09
Eosinophilic Esophagitis,47,0.09
Bacterial Genetics and Biotechnology,47,0.09
Sustainable Development and Environmental Policy,47,0.09
Mental Health via Writing,47,0.09
Insect and Pesticide Research,46,0.09
Methane Hydrates and Related Phenomena,46,0.09
Quantum Mechanics and Non-Hermitian Physics,46,0.09
Thyroid Cancer Diagnosis and Treatment,46,0.09
Mycobacterium research and diagnosis,46,0.09
Antimicrobial agents and applications,46,0.09
"Trauma, Hemostasis, Coagulopathy, Resuscitation",46,0.09
Stochastic Gradient Optimization Techniques,46,0.09
"Nutrition, Genetics, and Disease",46,0.09
Innovation Diffusion and Forecasting,46,0.09
Data Mining Algorithms and Applications,45,0.09
Neurogenetic and Muscular Disorders Research,45,0.09
Angiogenesis and VEGF in Cancer,45,0.09
Cannabis and Cannabinoid Research,45,0.09
Early Childhood Education and Development,45,0.09
Optical Network Technologies,45,0.09
Geochemistry and Geologic Mapping,45,0.09
Heparin-Induced Thrombocytopenia and Thrombosis,45,0.09
Soil and Water Nutrient Dynamics,45,0.09
Sustainable Finance and Green Bonds,45,0.09
Analytical Chemistry and Chromatography,45,0.09
Phase Change Materials Research,45,0.09
Health Promotion and Cardiovascular Prevention,45,0.09
Radioactive element chemistry and processing,45,0.09
Microbial Metabolites in Food Biotechnology,45,0.09
Per- and polyfluoroalkyl substances research,45,0.09
Economic and Financial Impacts of Cancer,45,0.09
Motivation and Self-Concept in Sports,45,0.09
Insect symbiosis and bacterial influences,44,0.09
Coral and Marine Ecosystems Studies,44,0.09
Green IT and Sustainability,44,0.09
Qualitative Comparative Analysis Research,44,0.09
Advancements in Semiconductor Devices and Circuit Design,44,0.09
Black Holes and Theoretical Physics,44,0.09
Childhood Cancer Survivors' Quality of Life,44,0.09
Data Quality and Management,44,0.09
Wildlife Ecology and Conservation,44,0.09
Plant tissue culture and regeneration,44,0.09
Healthcare Systems and Reforms,44,0.09
Body Composition Measurement Techniques,44,0.09
Child Nutrition and Feeding Issues,44,0.09
Concrete Corrosion and Durability,44,0.09
Sharing Economy and Platforms,44,0.09
Photoacoustic and Ultrasonic Imaging,44,0.09
Smoking Behavior and Cessation,44,0.09
Astrophysics and Star Formation Studies,44,0.09
Cardiovascular and exercise physiology,44,0.09
Plant biochemistry and biosynthesis,44,0.09
Synthesis and Catalytic Reactions,43,0.09
Olfactory and Sensory Function Studies,43,0.09
Organizational and Employee Performance,43,0.09
Liver Diseases and Immunity,43,0.09
Management and Organizational Studies,43,0.09
Spondyloarthritis Studies and Treatments,43,0.09
Soil Geostatistics and Mapping,43,0.09
Spectroscopy Techniques in Biomedical and Chemical Research,43,0.09
Quantum Chromodynamics and Particle Interactions,43,0.09
Biomedical and Engineering Education,43,0.09
Biochemical Analysis and Sensing Techniques,43,0.09
Zeolite Catalysis and Synthesis,43,0.09
Spam and Phishing Detection,43,0.09
Innovations in Medical Education,43,0.09
"Privacy, Security, and Data Protection",42,0.08
Family and Disability Support Research,42,0.08
Advancements in Transdermal Drug Delivery,42,0.08
Bacillus and Francisella bacterial research,42,0.08
Lipid metabolism and biosynthesis,42,0.08
Hormonal Regulation and Hypertension,42,0.08
Reproductive Biology and Fertility,42,0.08
E-Learning and Knowledge Management,42,0.08
Enzyme-mediated dye degradation,42,0.08
Photonic Crystals and Applications,42,0.08
Aortic Disease and Treatment Approaches,42,0.08
Transition Metal Oxide Nanomaterials,42,0.08
Ovarian function and disorders,42,0.08
Nerve injury and regeneration,42,0.08
Neuropeptides and Animal Physiology,42,0.08
Neurological diseases and metabolism,42,0.08
Advanced Thermodynamics and Statistical Mechanics,42,0.08
Water resources management and optimization,42,0.08
Protein Hydrolysis and Bioactive Peptides,42,0.08
Bone health and treatments,42,0.08
Muscle activation and electromyography studies,42,0.08
Digital Imaging for Blood Diseases,42,0.08
Vibrio bacteria research studies,42,0.08
Advanced Polymer Synthesis and Characterization,42,0.08
Decision-Making and Behavioral Economics,42,0.08
"Health, psychology, and well-being",42,0.08
Medical Imaging Techniques and Applications,42,0.08
Chronic Myeloid Leukemia Treatments,42,0.08
Adrenal Hormones and Disorders,42,0.08
Economic and Technological Innovation,41,0.08
Herpesvirus Infections and Treatments,41,0.08
ECG Monitoring and Analysis,41,0.08
Bipolar Disorder and Treatment,41,0.08
Obstructive Sleep Apnea Research,41,0.08
Silk-based biomaterials and applications,41,0.08
Curcumin's Biomedical Applications,41,0.08
Plant Gene Expression Analysis,41,0.08
Plant Pathogens and Fungal Diseases,41,0.08
Infective Endocarditis Diagnosis and Management,41,0.08
Cardiac Fibrosis and Remodeling,41,0.08
"Migration, Health and Trauma",41,0.08
Media Influence and Health,41,0.08
Evolution and Paleontology Studies,41,0.08
Atmospheric aerosols and clouds,41,0.08
Optical Wireless Communication Technologies,40,0.08
Advanced X-ray and CT Imaging,40,0.08
Image and Video Quality Assessment,40,0.08
Text Readability and Simplification,40,0.08
Tuberculosis Research and Epidemiology,40,0.08
Acute Lymphoblastic Leukemia research,40,0.08
Clinical Nutrition and Gastroenterology,40,0.08
Structural Health Monitoring Techniques,40,0.08
"Insurance, Mortality, Demography, Risk Management",40,0.08
Mercury impact and mitigation studies,40,0.08
Complex Systems and Time Series Analysis,40,0.08
Welding Techniques and Residual Stresses,40,0.08
Cardiovascular Effects of Exercise,40,0.08
Fungal Infections and Studies,40,0.08
Systemic Sclerosis and Related Diseases,40,0.08
Pulmonary Hypertension Research and Treatments,40,0.08
Entrepreneurship Studies and Influences,40,0.08
Glutathione Transferases and Polymorphisms,40,0.08
Pediatric health and respiratory diseases,40,0.08
Media Influence and Politics,40,0.08
Hippo pathway signaling and YAP/TAZ,39,0.08
Genetic Neurodegenerative Diseases,39,0.08
Cloud Computing and Resource Management,39,0.08
Mechanical and Optical Resonators,39,0.08
Economic Growth and Productivity,39,0.08
Health Sciences Research and Education,39,0.08
Laser-Ablation Synthesis of Nanoparticles,39,0.08
Lanthanide and Transition Metal Complexes,39,0.08
Corrosion Behavior and Inhibition,39,0.08
Cholesterol and Lipid Metabolism,39,0.08
Neuroblastoma Research and Treatments,39,0.08
Forest Management and Policy,39,0.08
Inflammatory mediators and NSAID effects,39,0.08
Video Analysis and Summarization,39,0.08
Food composition and properties,39,0.08
Robot Manipulation and Learning,39,0.08
Protist diversity and phylogeny,39,0.08
Congenital heart defects research,39,0.08
Congenital Heart Disease Studies,39,0.08
Streptococcal Infections and Treatments,39,0.08
Renal Diseases and Glomerulopathies,39,0.08
Economic theories and models,38,0.08
Psychosomatic Disorders and Their Treatments,38,0.08
Breast Lesions and Carcinomas,38,0.08
Photovoltaic System Optimization Techniques,38,0.08
Fluid Dynamics and Turbulent Flows,38,0.08
Neuroendocrine regulation and behavior,38,0.08
Fibroblast Growth Factor Research,38,0.08
Noise Effects and Management,38,0.08
Antimicrobial Resistance in Staphylococcus,38,0.08
Antibiotics Pharmacokinetics and Efficacy,38,0.08
Algal biology and biofuel production,38,0.08
Hemodynamic Monitoring and Therapy,38,0.08
Cerebrospinal fluid and hydrocephalus,38,0.08
Calcium signaling and nucleotide metabolism,38,0.08
Transportation and Mobility Innovations,38,0.08
Global trade and economics,38,0.08
solar cell performance optimization,38,0.08
Infrared Target Detection Methodologies,38,0.08
Polysaccharides and Plant Cell Walls,38,0.08
Housing Market and Economics,37,0.07
Clay minerals and soil interactions,37,0.07
Retinal and Optic Conditions,37,0.07
Enzyme Catalysis and Immobilization,37,0.07
Polydiacetylene-based materials and applications,37,0.07
Dental Health and Care Utilization,37,0.07
Satellite Communication Systems,37,0.07
Diabetes Management and Education,37,0.07
Soil erosion and sediment transport,37,0.07
Bayesian Modeling and Causal Inference,37,0.07
Myeloproliferative Neoplasms: Diagnosis and Treatment,37,0.07
Marine and fisheries research,37,0.07
Lipid metabolism and disorders,37,0.07
Muscle Physiology and Disorders,37,0.07
Digestive system and related health,37,0.07
NF-κB Signaling Pathways,37,0.07
Coastal wetland ecosystem dynamics,37,0.07
Teacher Education and Leadership Studies,37,0.07
Cancer-related cognitive impairment studies,37,0.07
Complex Systems and Decision Making,36,0.07
Advancements in Solid Oxide Fuel Cells,36,0.07
Organ Transplantation Techniques and Outcomes,36,0.07
Plant Micronutrient Interactions and Effects,36,0.07
Hematopoietic Stem Cell Transplantation,36,0.07
Landslides and related hazards,36,0.07
Oceanographic and Atmospheric Processes,36,0.07
Vitamin D Research Studies,36,0.07
Parallel Computing and Optimization Techniques,36,0.07
Transportation Planning and Optimization,36,0.07
Advanced Statistical Modeling Techniques,36,0.07
Microtubule and mitosis dynamics,36,0.07
Cystic Fibrosis Research Advances,36,0.07
Microstructure and mechanical properties,36,0.07
Data-Driven Disease Surveillance,36,0.07
Muscle metabolism and nutrition,36,0.07
Urinary and Genital Oncology Studies,36,0.07
Urinary Tract Infections Management,36,0.07
Peripheral Artery Disease Management,36,0.07
Fatty Acid Research and Health,36,0.07
Advanced Data Storage Technologies,36,0.07
Total Knee Arthroplasty Outcomes,36,0.07
"Income, Poverty, and Inequality",35,0.07
Economic Theory and Policy,35,0.07
Engineering Education and Technology,35,0.07
Orthopaedic implants and arthroplasty,35,0.07
Wastewater Treatment and Nitrogen Removal,35,0.07
Cultural Differences and Values,35,0.07
Psychotherapy Techniques and Applications,35,0.07
Magnetism in coordination complexes,35,0.07
Millimeter-Wave Propagation and Modeling,35,0.07
Mindfulness and Compassion Interventions,35,0.07
Tropical and Extratropical Cyclones Research,35,0.07
Spinal Cord Injury Research,35,0.07
Kawasaki Disease and Coronary Complications,35,0.07
Chemotherapy-induced cardiotoxicity and mitigation,35,0.07
Pressure Ulcer Prevention and Management,35,0.07
Neuroscience of respiration and sleep,35,0.07
Multi-Criteria Decision Making,35,0.07
Hemoglobinopathies and Related Disorders,35,0.07
Distributed Control Multi-Agent Systems,35,0.07
Nuclear Receptors and Signaling,35,0.07
Evolutionary Game Theory and Cooperation,35,0.07
Protease and Inhibitor Mechanisms,35,0.07
Cognitive Abilities and Testing,34,0.07
Education and Critical Thinking Development,34,0.07
Malaria Research and Control,34,0.07
Vasculitis and related conditions,34,0.07
Gallbladder and Bile Duct Disorders,34,0.07
Gait Recognition and Analysis,34,0.07
HIV/AIDS Research and Interventions,34,0.07
Sparse and Compressive Sensing Techniques,34,0.07
Mental Health and Psychiatry,34,0.07
Speech and dialogue systems,34,0.07
Enhanced Recovery After Surgery,34,0.07
Teaching and Learning Programming,34,0.07
Sulfur Compounds in Biology,34,0.07
Palliative Care and End-of-Life Issues,34,0.07
Racial and Ethnic Identity Research,34,0.07
Eicosanoids and Hypertension Pharmacology,34,0.07
Wnt/β-catenin signaling in development and cancer,34,0.07
Algorithms and Data Compression,34,0.07
Food Supply Chain Traceability,34,0.07
Impact of Light on Environment and Health,33,0.07
Coastal and Marine Management,33,0.07
Epilepsy research and treatment,33,0.07
Infant Development and Preterm Care,33,0.07
Reproductive tract infections research,33,0.07
Agricultural risk and resilience,33,0.07
Supramolecular Chemistry and Complexes,33,0.07
Microfinance and Financial Inclusion,33,0.07
Biochemical and Structural Characterization,33,0.07
Skin Protection and Aging,33,0.07
Maternal and fetal healthcare,33,0.07
Inflammation biomarkers and pathways,33,0.07
S100 Proteins and Annexins,33,0.07
Light effects on plants,33,0.07
Pregnancy and Medication Impact,33,0.07
Erythrocyte Function and Pathophysiology,33,0.07
Underwater Vehicles and Communication Systems,33,0.07
Proteins in Food Systems,33,0.07
Spacecraft and Cryogenic Technologies,33,0.07
Soil and Unsaturated Flow,33,0.07
Child and Adolescent Health,33,0.07
Research Data Management Practices,33,0.07
Protein Kinase Regulation and GTPase Signaling,33,0.07
Retinal Development and Disorders,33,0.07
Food Allergy and Anaphylaxis Research,33,0.07
Insect and Arachnid Ecology and Behavior,32,0.06
Peroxisome Proliferator-Activated Receptors,32,0.06
Cardiovascular Health and Disease Prevention,32,0.06
Transcranial Magnetic Stimulation Studies,32,0.06
Community Health and Development,32,0.06
Mesoporous Materials and Catalysis,32,0.06
Electrohydrodynamics and Fluid Dynamics,32,0.06
Ecosystem dynamics and resilience,32,0.06
Traffic control and management,32,0.06
Phosphorus and nutrient management,32,0.06
Cardiomyopathy and Myosin Studies,32,0.06
Fish Ecology and Management Studies,32,0.06
Esophageal and GI Pathology,32,0.06
Vehicle emissions and performance,32,0.06
BIM and Construction Integration,32,0.06
Occupational Health and Safety Research,32,0.06
Glaucoma and retinal disorders,32,0.06
Magnesium Oxide Properties and Applications,32,0.06
Estrogen and related hormone effects,32,0.06
Poxvirus research and outbreaks,32,0.06
Psychedelics and Drug Studies,32,0.06
Diverse Aspects of Tourism Research,32,0.06
Thyroid Disorders and Treatments,32,0.06
Marine and coastal plant biology,32,0.06
Magnesium Alloys: Properties and Applications,32,0.06
Viral-associated cancers and disorders,32,0.06
Recycled Aggregate Concrete Performance,32,0.06
Mental Health and Patient Involvement,31,0.06
Animal Disease Management and Epidemiology,31,0.06
Economic Theory and Institutions,31,0.06
Health and Medical Research Impacts,31,0.06
Endometriosis Research and Treatment,31,0.06
Labor market dynamics and wage inequality,31,0.06
Advanced NMR Techniques and Applications,31,0.06
Electricity Theft Detection Techniques,31,0.06
Maternal and Perinatal Health Interventions,31,0.06
Microfluidic and Bio-sensing Technologies,31,0.06
Educational Curriculum and Learning Methods,31,0.06
Photovoltaic Systems and Sustainability,31,0.06
Pesticide and Herbicide Environmental Studies,31,0.06
"Education, Achievement, and Giftedness",31,0.06
Tree-ring climate responses,31,0.06
Salmonella and Campylobacter epidemiology,31,0.06
Data Visualization and Analytics,31,0.06
Digital literacy in education,31,0.06
Aluminum toxicity and tolerance in plants and animals,31,0.06
Exercise and Physiological Responses,31,0.06
Blood Coagulation and Thrombosis Mechanisms,31,0.06
Ophthalmology and Visual Impairment Studies,31,0.06
Gear and Bearing Dynamics Analysis,31,0.06
Social Policy and Reform Studies,31,0.06
Educational Methods and Media Use,30,0.06
Educational Innovations and Technology,30,0.06
Immunodeficiency and Autoimmune Disorders,30,0.06
Nanotechnology research and applications,30,0.06
Adsorption and Cooling Systems,30,0.06
Advanced Biosensing Techniques and Applications,30,0.06
Photochromic and Fluorescence Chemistry,30,0.06
Carbon Nanotubes in Composites,30,0.06
Work-Family Balance Challenges,30,0.06
Augmented Reality Applications,30,0.06
Eosinophilic Disorders and Syndromes,30,0.06
Reliability and Maintenance Optimization,30,0.06
Sports injuries and prevention,30,0.06
Sarcoma Diagnosis and Treatment,30,0.06
Folate and B Vitamins Research,30,0.06
Renal Transplantation Outcomes and Treatments,30,0.06
Experimental Behavioral Economics Studies,30,0.06
"Climate Change, Adaptation, Migration",30,0.06
Optical measurement and interference techniques,30,0.06
Chemokine receptors and signaling,30,0.06
Workplace Health and Well-being,30,0.06
Molecular spectroscopy and chirality,30,0.06
Human-Automation Interaction and Safety,30,0.06
Titanium Alloys Microstructure and Properties,30,0.06
Oxidative Organic Chemistry Reactions,30,0.06
Global Health and Surgery,30,0.06
Optical properties and cooling technologies in crystalline materials,30,0.06
Microbial Fuel Cells and Bioremediation,30,0.06
"Quantum, superfluid, helium dynamics",30,0.06
Advanced Bandit Algorithms Research,29,0.06
Action Observation and Synchronization,29,0.06
Electoral Systems and Political Participation,29,0.06
Galectins and Cancer Biology,29,0.06
Forest ecology and management,29,0.06
Spine and Intervertebral Disc Pathology,29,0.06
"Computability, Logic, AI Algorithms",29,0.06
Advanced Control Systems Optimization,29,0.06
Urban Transport and Accessibility,29,0.06
"Populism, Right-Wing Movements",29,0.06
Amino Acid Enzymes and Metabolism,29,0.06
Sex and Gender in Healthcare,29,0.06
Platelet Disorders and Treatments,29,0.06
Currency Recognition and Detection,29,0.06
High-Energy Particle Collisions Research,29,0.06
DNA and Nucleic Acid Chemistry,29,0.06
Isotope Analysis in Ecology,29,0.06
Spatial and Panel Data Analysis,29,0.06
Surgical Simulation and Training,29,0.06
Orbital Angular Momentum in Optics,29,0.06
Aquaculture Nutrition and Growth,29,0.06
Sustainable Building Design and Assessment,29,0.06
Orthopedic Infections and Treatments,29,0.06
"HIV, Drug Use, Sexual Risk",29,0.06
Medical Imaging and Analysis,29,0.06
Impact of AI and Big Data on Business and Society,29,0.06
Rice Cultivation and Yield Improvement,29,0.06
Innovation Policy and R&D,28,0.06
Internet of Things and AI,28,0.06
Medicinal Plants and Neuroprotection,28,0.06
Reliability and Agreement in Measurement,28,0.06
Sports Performance and Training,28,0.06
Pharmacological Effects and Toxicity Studies,28,0.06
Advanced Combustion Engine Technologies,28,0.06
Knowledge Management and Sharing,28,0.06
Anesthesia and Neurotoxicity Research,28,0.06
Chemical Synthesis and Characterization,28,0.06
Dental Research and COVID-19,28,0.06
Advanced ceramic materials synthesis,28,0.06
Business Strategy and Innovation,28,0.06
Silicon and Solar Cell Technologies,28,0.06
Catalytic Cross-Coupling Reactions,28,0.06
Adenosine and Purinergic Signaling,28,0.06
Cardiovascular Issues in Pregnancy,28,0.06
Virology and Viral Diseases,28,0.06
Children's Physical and Motor Development,28,0.06
Tracheal and airway disorders,28,0.06
Transplantation: Methods and Outcomes,28,0.06
Arsenic contamination and mitigation,28,0.06
Thin-Film Transistor Technologies,28,0.06
Plant Pathogenic Bacteria Studies,28,0.06
Animal testing and alternatives,28,0.06
Cellular transport and secretion,28,0.06
Solar and Space Plasma Dynamics,27,0.05
Private Equity and Venture Capital,27,0.05
Focus Groups and Qualitative Methods,27,0.05
Chemical Looping and Thermochemical Processes,27,0.05
Innovative Energy Harvesting Technologies,27,0.05
Atomic and Subatomic Physics Research,27,0.05
Boron and Carbon Nanomaterials Research,27,0.05
Groundwater and Isotope Geochemistry,27,0.05
"Race, History, and American Society",27,0.05
Participatory Visual Research Methods,27,0.05
Animal and Plant Science Education,27,0.05
Genetics and Plant Breeding,27,0.05
Computational and Text Analysis Methods,27,0.05
Meat and Animal Product Quality,27,0.05
Bayesian Methods and Mixture Models,27,0.05
Heat Transfer and Optimization,27,0.05
"Banking stability, regulation, efficiency",27,0.05
HIV/AIDS drug development and treatment,27,0.05
Radiology practices and education,27,0.05
Respiratory and Cough-Related Research,27,0.05
Migraine and Headache Studies,27,0.05
Blind Source Separation Techniques,27,0.05
Biosimilars and Bioanalytical Methods,27,0.05
Firm Innovation and Growth,27,0.05
Neonatal and fetal brain pathology,27,0.05
Neurobiology and Insect Physiology Research,27,0.05
Neurological Disorders and Treatments,27,0.05
Non-Destructive Testing Techniques,27,0.05
Infant Nutrition and Health,27,0.05
Nitric Oxide and Endothelin Effects,27,0.05
Polyoxometalates: Synthesis and Applications,27,0.05
Synthesis and Properties of Aromatic Compounds,26,0.05
Cerebral Palsy and Movement Disorders,26,0.05
Advanced Radiotherapy Techniques,26,0.05
Tea Polyphenols and Effects,26,0.05
Botulinum Toxin and Related Neurological Disorders,26,0.05
Wastewater Treatment and Reuse,26,0.05
HVDC Systems and Fault Protection,26,0.05
Electric and Hybrid Vehicle Technologies,26,0.05
Thermal Regulation in Medicine,26,0.05
Biomarkers in Disease Mechanisms,26,0.05
Molecular Communication and Nanonetworks,26,0.05
Supply Chain and Inventory Management,26,0.05
Regulation of Appetite and Obesity,26,0.05
"Language, Metaphor, and Cognition",26,0.05
Reproductive Health and Technologies,26,0.05
Iron oxide chemistry and applications,26,0.05
Cardiac Ischemia and Reperfusion,26,0.05
Vehicular Ad Hoc Networks (VANETs),26,0.05
Oral Health Pathology and Treatment,26,0.05
Dye analysis and toxicity,26,0.05
Simulation-Based Education in Healthcare,26,0.05
Inhalation and Respiratory Drug Delivery,25,0.05
Insect Pest Control Strategies,25,0.05
Image Processing and 3D Reconstruction,25,0.05
Precipitation Measurement and Analysis,25,0.05
Sleep and Work-Related Fatigue,25,0.05
Innovative Human-Technology Interaction,25,0.05
Drug Solubulity and Delivery Systems,25,0.05
Distributed and Parallel Computing Systems,25,0.05
Pain Management and Placebo Effect,25,0.05
Natural product bioactivities and synthesis,25,0.05
Diamond and Carbon-based Materials Research,25,0.05
Chromium effects and bioremediation,25,0.05
Social Media in Health Education,25,0.05
Biometric Identification and Security,25,0.05
"Grit, Self-Efficacy, and Motivation",25,0.05
Handwritten Text Recognition Techniques,25,0.05
Renin-Angiotensin System Studies,25,0.05
"LGBTQ Health, Identity, and Policy",25,0.05
Water Quality and Pollution Assessment,25,0.05
Dental Implant Techniques and Outcomes,25,0.05
Dendrimers and Hyperbranched Polymers,25,0.05
Gastrointestinal Tumor Research and Treatment,25,0.05
HIV-related health complications and treatments,25,0.05
Radiation Dose and Imaging,25,0.05
Patient Satisfaction in Healthcare,25,0.05
Cutaneous lymphoproliferative disorders research,25,0.05
"Amyloidosis: Diagnosis, Treatment, Outcomes",25,0.05
Aerogels and thermal insulation,25,0.05
Inorganic Fluorides and Related Compounds,24,0.05
Interactive and Immersive Displays,24,0.05
Parathyroid Disorders and Treatments,24,0.05
Crystallization and Solubility Studies,24,0.05
Geriatric Care and Nursing Homes,24,0.05
Pediatric Pain Management Techniques,24,0.05
HIV Research and Treatment,24,0.05
Biochemical effects in animals,24,0.05
Marine Bivalve and Aquaculture Studies,24,0.05
History and advancements in chemistry,24,0.05
Radar Systems and Signal Processing,24,0.05
Metal and Thin Film Mechanics,24,0.05
Semiconductor Quantum Structures and Devices,24,0.05
Public Policy and Administration Research,24,0.05
Thermoregulation and physiological responses,24,0.05
Diagnosis and Treatment of Venous Diseases,24,0.05
Breastfeeding Practices and Influences,24,0.05
Vagus Nerve Stimulation Research,24,0.05
Disaster Response and Management,24,0.05
Porphyrin and Phthalocyanine Chemistry,24,0.05
TGF-β signaling in diseases,24,0.05
Neutrino Physics Research,24,0.05
Disaster Management and Resilience,24,0.05
COVID-19 Digital Contact Tracing,24,0.05
Diversity and Career in Medicine,24,0.05
Energy Efficient Wireless Sensor Networks,24,0.05
Escherichia coli research studies,24,0.05
Agricultural Innovations and Practices,24,0.05
Innovative Teaching Methods,24,0.05
Information Systems Theories and Implementation,24,0.05
Academic Publishing and Open Access,24,0.05
Acoustic Wave Phenomena Research,23,0.05
Cognitive Science and Mapping,23,0.05
Optical Imaging and Spectroscopy Techniques,23,0.05
E-Government and Public Services,23,0.05
Adaptive Control of Nonlinear Systems,23,0.05
Automated Road and Building Extraction,23,0.05
Leaf Properties and Growth Measurement,23,0.05
"Language, Discourse, Communication Strategies",23,0.05
Hydrocarbon exploration and reservoir analysis,23,0.05
Health Literacy and Information Accessibility,23,0.05
Hand Gesture Recognition Systems,23,0.05
Biomedical Ethics and Regulation,23,0.05
Marine Biology and Environmental Chemistry,23,0.05
Second Language Learning and Teaching,23,0.05
Bee Products Chemical Analysis,23,0.05
Collaboration in agile enterprises,23,0.05
Complement system in diseases,23,0.05
Ocular Surface and Contact Lens,23,0.05
Graph Theory and Algorithms,23,0.05
Biodiesel Production and Applications,23,0.05
Patient-Provider Communication in Healthcare,23,0.05
Synthesis and Biological Evaluation,23,0.05
Neurobiology of Language and Bilingualism,23,0.05
Fiber-reinforced polymer composites,23,0.05
Software Testing and Debugging Techniques,23,0.05
Plant Diversity and Evolution,23,0.05
EFL/ESL Teaching and Learning,23,0.05
Nuclear Structure and Function,23,0.05
Infant Health and Development,23,0.05
Pharmacological Effects of Natural Compounds,23,0.05
Distributed systems and fault tolerance,23,0.05
earthquake and tectonic studies,23,0.05
Prion Diseases and Protein Misfolding,23,0.05
Embodied and Extended Cognition,23,0.05
"Optimism, Hope, and Well-being",23,0.05
Celiac Disease Research and Management,23,0.05
"Neuroethics, Human Enhancement, Biomedical Innovations",23,0.05
"Gender, Labor, and Family Dynamics",23,0.05
Aquaculture disease management and microbiota,23,0.05
Quantum Electrodynamics and Casimir Effect,23,0.05
Surgical Sutures and Adhesives,23,0.05
Gastroesophageal reflux and treatments,23,0.05
