primary_topic,publication_count,percentage
Work-Family Balance Challenges,16,0.03
Electoral Systems and Political Participation,16,0.03
Cognitive Abilities and Testing,16,0.03
Radioactive element chemistry and processing,16,0.03
Proteins in Food Systems,16,0.03
Cancer Risks and Factors,16,0.03
Antenna Design and Analysis,16,0.03
Gaussian Processes and Bayesian Inference,15,0.03
Hormonal Regulation and Hypertension,15,0.03
Ophthalmology and Visual Impairment Studies,15,0.03
Polymer Surface Interaction Studies,15,0.03
Evolution and Paleontology Studies,15,0.03
Zeolite Catalysis and Synthesis,15,0.03
Cloud Computing and Resource Management,15,0.03
Pneumonia and Respiratory Infections,15,0.03
Complex Systems and Decision Making,15,0.03
Climate change and permafrost,15,0.03
Skin Protection and Aging,15,0.03
Impact of Light on Environment and Health,15,0.03
Neuroscience and Neural Engineering,15,0.03
Aluminum Alloys Composites Properties,15,0.03
Synthesis and Properties of Aromatic Compounds,15,0.03
Data Stream Mining Techniques,15,0.03
Employment and Welfare Studies,15,0.03
Cold Atom Physics and Bose-Einstein Condensates,15,0.03
Food Allergy and Anaphylaxis Research,15,0.03
Brain Metastases and Treatment,15,0.03
Qualitative Comparative Analysis Research,15,0.03
Innovative concrete reinforcement materials,15,0.03
Neuroendocrine Tumor Research Advances,15,0.03
ECG Monitoring and Analysis,15,0.03
Housing Market and Economics,15,0.03
"Populism, Right-Wing Movements",15,0.03
Educational Methods and Media Use,15,0.03
Education Systems and Policy,15,0.03
Transplantation: Methods and Outcomes,15,0.03
Quantum Chromodynamics and Particle Interactions,15,0.03
Remote Sensing and LiDAR Applications,15,0.03
Early Childhood Education and Development,15,0.03
Sex and Gender in Healthcare,15,0.03
Nanopore and Nanochannel Transport Studies,15,0.03
Photovoltaic Systems and Sustainability,15,0.03
Arctic and Antarctic ice dynamics,15,0.03
Enzyme-mediated dye degradation,15,0.03
Cancer Research and Treatments,15,0.03
Advanced Clustering Algorithms Research,14,0.03
Recycled Aggregate Concrete Performance,14,0.03
Drug Solubulity and Delivery Systems,14,0.03
Renal and related cancers,14,0.03
Membrane Separation and Gas Transport,14,0.03
Neurotransmitter Receptor Influence on Behavior,14,0.03
Food Waste Reduction and Sustainability,14,0.03
Energy Harvesting in Wireless Networks,14,0.03
"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",14,0.03
Obesity and Health Practices,14,0.03
Electronic Health Records Systems,14,0.03
Reproductive tract infections research,14,0.03
X-ray Diffraction in Crystallography,14,0.03
Adaptive Control of Nonlinear Systems,14,0.03
Sparse and Compressive Sensing Techniques,14,0.03
Hippo pathway signaling and YAP/TAZ,14,0.03
Atmospheric aerosols and clouds,14,0.03
Hate Speech and Cyberbullying Detection,14,0.03
Economic and Environmental Valuation,14,0.03
Tissue Engineering and Regenerative Medicine,14,0.03
Lipid metabolism and biosynthesis,14,0.03
Complex Systems and Time Series Analysis,14,0.03
"Energy, Environment, and Transportation Policies",14,0.03
Urban Transport and Accessibility,14,0.03
Health Literacy and Information Accessibility,14,0.03
Carbon dioxide utilization in catalysis,14,0.03
Dietary Effects on Health,14,0.03
Clinical Reasoning and Diagnostic Skills,14,0.03
Spondyloarthritis Studies and Treatments,14,0.03
Transportation and Mobility Innovations,14,0.03
Palliative Care and End-of-Life Issues,14,0.03
Transcranial Magnetic Stimulation Studies,14,0.03
"Trauma, Hemostasis, Coagulopathy, Resuscitation",14,0.03
Spatial and Panel Data Analysis,14,0.03
Polysaccharides and Plant Cell Walls,14,0.03
Cardiac pacing and defibrillation studies,14,0.03
Ga2O3 and related materials,14,0.03
Sleep and Wakefulness Research,14,0.03
Traumatic Brain Injury Research,14,0.03
Context-Aware Activity Recognition Systems,14,0.03
Economic theories and models,14,0.03
Global Health Care Issues,14,0.03
Electrochemical sensors and biosensors,14,0.03
Magnetic and transport properties of perovskites and related materials,14,0.03
TGF-β signaling in diseases,14,0.03
Protein Kinase Regulation and GTPase Signaling,14,0.03
CO2 Sequestration and Geologic Interactions,14,0.03
Peptidase Inhibition and Analysis,14,0.03
Bayesian Modeling and Causal Inference,14,0.03
"Insurance, Mortality, Demography, Risk Management",14,0.03
Kawasaki Disease and Coronary Complications,14,0.03
Fish Ecology and Management Studies,14,0.03
"Cancer, Stress, Anesthesia, and Immune Response",14,0.03
Immunodeficiency and Autoimmune Disorders,13,0.03
Antioxidant Activity and Oxidative Stress,13,0.03
Autoimmune and Inflammatory Disorders Research,13,0.03
Public Policy and Administration Research,13,0.03
High-pressure geophysics and materials,13,0.03
"Auditing, Earnings Management, Governance",13,0.03
Microbial bioremediation and biosurfactants,13,0.03
Bone Metabolism and Diseases,13,0.03
Fault Detection and Control Systems,13,0.03
Parallel Computing and Optimization Techniques,13,0.03
Dental Health and Care Utilization,13,0.03
3D Surveying and Cultural Heritage,13,0.03
Consumer Behavior in Brand Consumption and Identification,13,0.03
Multilingual Education and Policy,13,0.03
Acoustic Wave Phenomena Research,13,0.03
"Climate Change, Adaptation, Migration",13,0.03
Quantum and electron transport phenomena,13,0.03
Salmonella and Campylobacter epidemiology,13,0.03
Teacher Education and Leadership Studies,13,0.03
Mobile Crowdsensing and Crowdsourcing,13,0.03
Patient-Provider Communication in Healthcare,13,0.03
Genetic and phenotypic traits in livestock,13,0.03
Aquaculture Nutrition and Growth,13,0.03
Consumer Retail Behavior Studies,13,0.03
Water resources management and optimization,13,0.03
Resilience and Mental Health,13,0.03
"Education, Achievement, and Giftedness",13,0.03
Traumatic Brain Injury and Neurovascular Disturbances,13,0.03
Total Knee Arthroplasty Outcomes,13,0.03
Astronomy and Astrophysical Research,13,0.03
Aquatic Ecosystems and Phytoplankton Dynamics,13,0.03
Electronic and Structural Properties of Oxides,13,0.03
"Neuroscience, Education and Cognitive Function",13,0.03
Fractional Differential Equations Solutions,13,0.03
Brazilian Legal Issues,13,0.03
Medical Imaging Techniques and Applications,13,0.03
Media Influence and Politics,13,0.03
Advanced Malware Detection Techniques,13,0.03
Labor market dynamics and wage inequality,13,0.03
Structural Health Monitoring Techniques,13,0.03
Advanced Combustion Engine Technologies,13,0.03
Chromium effects and bioremediation,13,0.03
Water Quality and Pollution Assessment,13,0.03
Muscle Physiology and Disorders,13,0.03
Technology-Enhanced Education Studies,13,0.03
Cardiovascular Disease and Adiposity,13,0.03
Viral Infections and Immunology Research,13,0.03
Geological and Geochemical Analysis,12,0.02
E-Government and Public Services,12,0.02
EFL/ESL Teaching and Learning,12,0.02
Cultural Differences and Values,12,0.02
Malaria Research and Control,12,0.02
Microfinance and Financial Inclusion,12,0.02
Pharmacogenetics and Drug Metabolism,12,0.02
Membrane-based Ion Separation Techniques,12,0.02
Cognitive Science and Mapping,12,0.02
Innovative Teaching and Learning Methods,12,0.02
Supramolecular Self-Assembly in Materials,12,0.02
Ferroelectric and Negative Capacitance Devices,12,0.02
"Privacy, Security, and Data Protection",12,0.02
Anaerobic Digestion and Biogas Production,12,0.02
Spectroscopy Techniques in Biomedical and Chemical Research,12,0.02
Asymmetric Hydrogenation and Catalysis,12,0.02
Bipolar Disorder and Treatment,12,0.02
Wildlife Ecology and Conservation,12,0.02
International Business and FDI,12,0.02
Child Development and Digital Technology,12,0.02
Experimental Behavioral Economics Studies,12,0.02
Neurobiology of Language and Bilingualism,12,0.02
Psychology of Moral and Emotional Judgment,12,0.02
Data Visualization and Analytics,12,0.02
Liver Diseases and Immunity,12,0.02
Evolutionary Algorithms and Applications,12,0.02
Orbital Angular Momentum in Optics,12,0.02
Hemoglobinopathies and Related Disorders,12,0.02
"Language, Discourse, Communication Strategies",12,0.02
Bayesian Methods and Mixture Models,12,0.02
"Diet, Metabolism, and Disease",12,0.02
Heat Transfer and Optimization,12,0.02
Wireless Signal Modulation Classification,12,0.02
Muscle metabolism and nutrition,12,0.02
Analytical chemistry methods development,12,0.02
Selenium in Biological Systems,12,0.02
Software Testing and Debugging Techniques,12,0.02
Chaos-based Image/Signal Encryption,12,0.02
Cytomegalovirus and herpesvirus research,12,0.02
Advanced Control Systems Optimization,12,0.02
Enhanced Recovery After Surgery,12,0.02
Digital literacy in education,12,0.02
Histone Deacetylase Inhibitors Research,12,0.02
Classical Philosophy and Thought,12,0.02
Heart Rate Variability and Autonomic Control,11,0.02
DNA and Nucleic Acid Chemistry,11,0.02
Congenital heart defects research,11,0.02
Bacterial Identification and Susceptibility Testing,11,0.02
Psychosomatic Disorders and Their Treatments,11,0.02
Robotic Locomotion and Control,11,0.02
Plant Growth Enhancement Techniques,11,0.02
Astrophysics and Star Formation Studies,11,0.02
Carbon Nanotubes in Composites,11,0.02
Disaster Management and Resilience,11,0.02
Plant Parasitism and Resistance,11,0.02
Innovative Teaching Methods,11,0.02
"Gender, Feminism, and Media",11,0.02
Pharmaceutical Practices and Patient Outcomes,11,0.02
Corrosion Behavior and Inhibition,11,0.02
Sulfur Compounds in Biology,11,0.02
Multiferroics and related materials,11,0.02
Urinary Tract Infections Management,11,0.02
Plant Virus Research Studies,11,0.02
Renal Diseases and Glomerulopathies,11,0.02
Advanced Thermodynamics and Statistical Mechanics,11,0.02
Disaster Response and Management,11,0.02
Advanced MRI Techniques and Applications,11,0.02
Menopause: Health Impacts and Treatments,11,0.02
ZnO doping and properties,11,0.02
Sinusitis and nasal conditions,11,0.02
Cerebrovascular and Carotid Artery Diseases,11,0.02
Sperm and Testicular Function,11,0.02
Olfactory and Sensory Function Studies,11,0.02
Chemical Synthesis and Analysis,11,0.02
Healthcare Systems and Reforms,11,0.02
Economic Theory and Policy,11,0.02
Manufacturing Process and Optimization,11,0.02
Orthopedic Infections and Treatments,11,0.02
Nonlinear Waves and Solitons,11,0.02
Astro and Planetary Science,11,0.02
Political Philosophy and Ethics,11,0.02
Chronic Myeloid Leukemia Treatments,11,0.02
solar cell performance optimization,11,0.02
Clinical practice guidelines implementation,11,0.02
Advanced Polymer Synthesis and Characterization,11,0.02
Semiconductor materials and devices,11,0.02
"Computability, Logic, AI Algorithms",11,0.02
Catalysis and Oxidation Reactions,11,0.02
Visual and Cognitive Learning Processes,11,0.02
Contemporary Sociological Theory and Practice,11,0.02
"Healthcare cost, quality, practices",11,0.02
Radar Systems and Signal Processing,11,0.02
Chemokine receptors and signaling,11,0.02
Peatlands and Wetlands Ecology,11,0.02
Neurobiology and Insect Physiology Research,11,0.02
Educational Curriculum and Learning Methods,11,0.02
Sustainable Finance and Green Bonds,11,0.02
Titanium Alloys Microstructure and Properties,11,0.02
Kidney Stones and Urolithiasis Treatments,10,0.02
Bacterial Infections and Vaccines,10,0.02
Nanofluid Flow and Heat Transfer,10,0.02
History and advancements in chemistry,10,0.02
Cardiovascular and exercise physiology,10,0.02
Analytical Chemistry and Sensors,10,0.02
Hematopoietic Stem Cell Transplantation,10,0.02
Eicosanoids and Hypertension Pharmacology,10,0.02
Arsenic contamination and mitigation,10,0.02
Myasthenia Gravis and Thymoma,10,0.02
Marine and fisheries research,10,0.02
Plant Diversity and Evolution,10,0.02
Innovations in Medical Education,10,0.02
Economic and Technological Innovation,10,0.02
Natural Antidiabetic Agents Studies,10,0.02
Molecular Biology Techniques and Applications,10,0.02
Silk-based biomaterials and applications,10,0.02
Green IT and Sustainability,10,0.02
Software-Defined Networks and 5G,10,0.02
Clay minerals and soil interactions,10,0.02
Second Language Learning and Teaching,10,0.02
Folate and B Vitamins Research,10,0.02
Plant responses to water stress,10,0.02
Technology Use by Older Adults,10,0.02
Plant Pathogens and Fungal Diseases,10,0.02
Microbial Fuel Cells and Bioremediation,10,0.02
Congenital Heart Disease Studies,10,0.02
Educational Research and Methods,10,0.02
Systemic Sclerosis and Related Diseases,10,0.02
American Constitutional Law and Politics,10,0.02
Coastal and Marine Management,10,0.02
Adrenal Hormones and Disorders,10,0.02
Text and Document Classification Technologies,10,0.02
Reproductive System and Pregnancy,10,0.02
Terahertz technology and applications,10,0.02
Quality and Supply Management,10,0.02
Decision-Making and Behavioral Economics,10,0.02
Child and Adolescent Health,10,0.02
"Balance, Gait, and Falls Prevention",10,0.02
Galectins and Cancer Biology,10,0.02
"Housing, Finance, and Neoliberalism",10,0.02
Plant tissue culture and regeneration,10,0.02
Global Peace and Security Dynamics,10,0.02
Gallbladder and Bile Duct Disorders,10,0.02
Water Quality Monitoring Technologies,10,0.02
Diamond and Carbon-based Materials Research,10,0.02
Mycotoxins in Agriculture and Food,10,0.02
Neurogenetic and Muscular Disorders Research,10,0.02
Celiac Disease Research and Management,10,0.02
Evolutionary Game Theory and Cooperation,10,0.02
Photodynamic Therapy Research Studies,10,0.02
Ethics in Clinical Research,10,0.02
Data-Driven Disease Surveillance,10,0.02
Transition Metal Oxide Nanomaterials,10,0.02
Ocular Surface and Contact Lens,10,0.02
Computational and Text Analysis Methods,10,0.02
"Language, Metaphor, and Cognition",10,0.02
Educational Innovations and Technology,10,0.02
Infrared Target Detection Methodologies,10,0.02
Healthcare and Environmental Waste Management,10,0.02
Neuroendocrine regulation and behavior,9,0.02
Complement system in diseases,9,0.02
Mechanical and Optical Resonators,9,0.02
Laser-Plasma Interactions and Diagnostics,9,0.02
Advanced X-ray and CT Imaging,9,0.02
Human-Automation Interaction and Safety,9,0.02
Proteoglycans and glycosaminoglycans research,9,0.02
Vagus Nerve Stimulation Research,9,0.02
Children's Physical and Motor Development,9,0.02
Breastfeeding Practices and Influences,9,0.02
Vehicular Ad Hoc Networks (VANETs),9,0.02
Solar Thermal and Photovoltaic Systems,9,0.02
Bee Products Chemical Analysis,9,0.02
"Agriculture, Land Use, Rural Development",9,0.02
Infective Endocarditis Diagnosis and Management,9,0.02
"Migration, Health and Trauma",9,0.02
Fibroblast Growth Factor Research,9,0.02
Economic and Financial Impacts of Cancer,9,0.02
Spectroscopy and Laser Applications,9,0.02
Cryptography and Data Security,9,0.02
Supramolecular Chemistry and Complexes,9,0.02
Thyroid Disorders and Treatments,9,0.02
Insect Utilization and Effects,9,0.02
Protease and Inhibitor Mechanisms,9,0.02
Reproductive Health and Technologies,9,0.02
Nonmelanoma Skin Cancer Studies,9,0.02
Fluorine in Organic Chemistry,9,0.02
GaN-based semiconductor devices and materials,9,0.02
Radio Astronomy Observations and Technology,9,0.02
Spine and Intervertebral Disc Pathology,9,0.02
Cardiac Ischemia and Reperfusion,9,0.02
Primary Care and Health Outcomes,9,0.02
Microtubule and mitosis dynamics,9,0.02
Mass Spectrometry Techniques and Applications,9,0.02
Creativity in Education and Neuroscience,9,0.02
Retinal Development and Disorders,9,0.02
Cerebral Palsy and Movement Disorders,9,0.02
Insect Resistance and Genetics,9,0.02
Airway Management and Intubation Techniques,9,0.02
Photoacoustic and Ultrasonic Imaging,9,0.02
Diabetes Management and Education,9,0.02
Platelet Disorders and Treatments,9,0.02
Viral Infections and Outbreaks Research,9,0.02
Toxic Organic Pollutants Impact,9,0.02
Knowledge Management and Sharing,9,0.02
Distributed systems and fault tolerance,9,0.02
Molecular spectroscopy and chirality,9,0.02
Embodied and Extended Cognition,9,0.02
"Banking stability, regulation, efficiency",9,0.02
Genetic Neurodegenerative Diseases,9,0.02
Innovative Human-Technology Interaction,9,0.02
Fiscal Policy and Economic Growth,9,0.02
Clinical Nutrition and Gastroenterology,9,0.02
Polymer-Based Agricultural Enhancements,9,0.02
Protein Hydrolysis and Bioactive Peptides,9,0.02
Human Mobility and Location-Based Analysis,9,0.02
Strong Light-Matter Interactions,9,0.02
Insect Pest Control Strategies,9,0.02
Precipitation Measurement and Analysis,9,0.02
Education and Vocational Training,9,0.02
Social Policy and Reform Studies,9,0.02
Health Sciences Research and Education,9,0.02
Insect-Plant Interactions and Control,9,0.02
Adenosine and Purinergic Signaling,9,0.02
Wheat and Barley Genetics and Pathology,9,0.02
Layered Double Hydroxides Synthesis and Applications,9,0.02
Reproductive Biology and Fertility,9,0.02
Renal Transplantation Outcomes and Treatments,9,0.02
Advanced Physical and Chemical Molecular Interactions,9,0.02
Satellite Communication Systems,9,0.02
Mental Health via Writing,9,0.02
Groundwater and Isotope Geochemistry,9,0.02
Hyperglycemia and glycemic control in critically ill and hospitalized patients,9,0.02
Advanced Statistical Modeling Techniques,8,0.02
Interprofessional Education and Collaboration,8,0.02
ICT Impact and Policies,8,0.02
Intimate Partner and Family Violence,8,0.02
Critical Theory and Philosophy,8,0.02
Photochromic and Fluorescence Chemistry,8,0.02
"Grit, Self-Efficacy, and Motivation",8,0.02
Protist diversity and phylogeny,8,0.02
Microfluidic and Bio-sensing Technologies,8,0.02
Probabilistic and Robust Engineering Design,8,0.02
Firm Innovation and Growth,8,0.02
Sports injuries and prevention,8,0.02
Metabolism and Genetic Disorders,8,0.02
Coastal and Marine Dynamics,8,0.02
Optical Wireless Communication Technologies,8,0.02
Hydrogen embrittlement and corrosion behaviors in metals,8,0.02
Photovoltaic System Optimization Techniques,8,0.02
Fiber-reinforced polymer composites,8,0.02
Image Retrieval and Classification Techniques,8,0.02
Cholesterol and Lipid Metabolism,8,0.02
Genomic variations and chromosomal abnormalities,8,0.02
Environmental remediation with nanomaterials,8,0.02
Political Conflict and Governance,8,0.02
Optical measurement and interference techniques,8,0.02
Wireless Communication Security Techniques,8,0.02
Pituitary Gland Disorders and Treatments,8,0.02
Light effects on plants,8,0.02
Pesticide Exposure and Toxicity,8,0.02
Stroke Rehabilitation and Recovery,8,0.02
Vibrio bacteria research studies,8,0.02
Nuclear physics research studies,8,0.02
Personality Traits and Psychology,8,0.02
Machine Learning and Algorithms,8,0.02
Ethics in medical practice,8,0.02
Digital Games and Media,8,0.02
Migration and Labor Dynamics,8,0.02
Augmented Reality Applications,8,0.02
Viral-associated cancers and disorders,8,0.02
Regulation of Appetite and Obesity,8,0.02
Hemodynamic Monitoring and Therapy,8,0.02
Data Quality and Management,8,0.02
Glutathione Transferases and Polymorphisms,8,0.02
Blood transfusion and management,8,0.02
Innovation Diffusion and Forecasting,8,0.02
Glaucoma and retinal disorders,8,0.02
IoT Networks and Protocols,8,0.02
Artificial Intelligence in Games,8,0.02
Cholinesterase and Neurodegenerative Diseases,8,0.02
Surgical Simulation and Training,8,0.02
Photochemistry and Electron Transfer Studies,8,0.02
Knee injuries and reconstruction techniques,8,0.02
Peripheral Neuropathies and Disorders,8,0.02
Mental Health and Patient Involvement,8,0.02
Cardiovascular Issues in Pregnancy,8,0.02
Gastroesophageal reflux and treatments,8,0.02
Innovation Policy and R&D,8,0.02
Maternal and fetal healthcare,8,0.02
Marine and coastal plant biology,8,0.02
Nosocomial Infections in ICU,8,0.02
Fibromyalgia and Chronic Fatigue Syndrome Research,8,0.02
Health Promotion and Cardiovascular Prevention,8,0.02
Dye analysis and toxicity,8,0.02
Aortic aneurysm repair treatments,8,0.02
Advanced ceramic materials synthesis,8,0.02
Surgical site infection prevention,8,0.02
Cancer Treatment and Pharmacology,8,0.02
Algorithms and Data Compression,8,0.02
Advanced Optimization Algorithms Research,8,0.02
International Relations and Foreign Policy,8,0.02
Soil and Water Nutrient Dynamics,8,0.02
Laser-Ablation Synthesis of Nanoparticles,8,0.02
Dental Research and COVID-19,8,0.02
Genetic and Kidney Cyst Diseases,8,0.02
Organizational and Employee Performance,8,0.02
Lipid metabolism and disorders,8,0.02
Aquaculture disease management and microbiota,8,0.02
Regional Development and Policy,8,0.02
Mercury impact and mitigation studies,8,0.02
Iron and Steelmaking Processes,8,0.02
Reservoir Engineering and Simulation Methods,8,0.02
Water Quality Monitoring and Analysis,8,0.02
Sodium Intake and Health,8,0.02
Cardiovascular Effects of Exercise,8,0.02
Rangeland Management and Livestock Ecology,8,0.02
Relativity and Gravitational Theory,8,0.02
Xenotransplantation and immune response,8,0.02
Health and Medical Research Impacts,7,0.01
Cyclopropane Reaction Mechanisms,7,0.01
Occupational Health and Safety Research,7,0.01
Molecular Junctions and Nanostructures,7,0.01
"Nutrition, Genetics, and Disease",7,0.01
Semantic Web and Ontologies,7,0.01
Marine animal studies overview,7,0.01
Philosophy and Theoretical Science,7,0.01
Agricultural Innovations and Practices,7,0.01
Zebrafish Biomedical Research Applications,7,0.01
Calcium Carbonate Crystallization and Inhibition,7,0.01
Global Health Workforce Issues,7,0.01
Animal Behavior and Reproduction,7,0.01
Ruminant Nutrition and Digestive Physiology,7,0.01
Preterm Birth and Chorioamnionitis,7,0.01
Insect and Arachnid Ecology and Behavior,7,0.01
Dental Implant Techniques and Outcomes,7,0.01
Water Treatment and Disinfection,7,0.01
Education and Technology Integration,7,0.01
Cellular transport and secretion,7,0.01
Insect and Pesticide Research,7,0.01
Global Energy Security and Policy,7,0.01
Vestibular and auditory disorders,7,0.01
Space Science and Extraterrestrial Life,7,0.01
Tea Polyphenols and Effects,7,0.01
Calcium signaling and nucleotide metabolism,7,0.01
Asymmetric Synthesis and Catalysis,7,0.01
Crystallization and Solubility Studies,7,0.01
Ocean Acidification Effects and Responses,7,0.01
Advanced Aircraft Design and Technologies,7,0.01
Statistical Methods and Applications,7,0.01
Sport Psychology and Performance,7,0.01
Cardiovascular Health and Disease Prevention,7,0.01
Workplace Health and Well-being,7,0.01
Reflective Practices in Education,7,0.01
Numerical methods for differential equations,7,0.01
Surgical Sutures and Adhesives,7,0.01
"Gender, Labor, and Family Dynamics",7,0.01
Information Technology Governance and Strategy,7,0.01
Stochastic Gradient Optimization Techniques,7,0.01
Agricultural Economics and Policy,7,0.01
Food Safety and Hygiene,7,0.01
University-Industry-Government Innovation Models,7,0.01
Organ Transplantation Techniques and Outcomes,7,0.01
N-Heterocyclic Carbenes in Organic and Inorganic Chemistry,7,0.01
Advanced Text Analysis Techniques,7,0.01
Wireless Power Transfer Systems,7,0.01
Ethnobotanical and Medicinal Plants Studies,7,0.01
Focus Groups and Qualitative Methods,7,0.01
Microbial Metabolites in Food Biotechnology,7,0.01
Philosophy and History of Science,7,0.01
Spam and Phishing Detection,7,0.01
Meat and Animal Product Quality,7,0.01
Metal complexes synthesis and properties,7,0.01
Research on Leishmaniasis Studies,7,0.01
Underwater Vehicles and Communication Systems,7,0.01
Animal Behavior and Welfare Studies,7,0.01
Biotin and Related Studies,7,0.01
Reliability and Agreement in Measurement,7,0.01
Inflammatory mediators and NSAID effects,7,0.01
Gender Roles and Identity Studies,7,0.01
Environmental Justice and Health Disparities,7,0.01
Cardiac electrophysiology and arrhythmias,7,0.01
Salivary Gland Disorders and Functions,7,0.01
Multi-Agent Systems and Negotiation,7,0.01
Language and cultural evolution,7,0.01
Distributed and Parallel Computing Systems,7,0.01
Business Process Modeling and Analysis,7,0.01
Sociology and Education Studies,7,0.01
Cultural Industries and Urban Development,7,0.01
Matrix Theory and Algorithms,7,0.01
Global Financial Crisis and Policies,7,0.01
Philosophical Ethics and Theory,7,0.01
Soil Moisture and Remote Sensing,7,0.01
Personality Disorders and Psychopathology,7,0.01
Seismology and Earthquake Studies,7,0.01
Medicinal Plants and Bioactive Compounds,7,0.01
Advanced Optical Imaging Technologies,7,0.01
Pharmacovigilance and Adverse Drug Reactions,7,0.01
Opinion Dynamics and Social Influence,7,0.01
Design Education and Practice,7,0.01
Educational and Psychological Assessments,7,0.01
"Science, Research, and Medicine",7,0.01
Flame retardant materials and properties,7,0.01
Human Rights and Development,7,0.01
Aerogels and thermal insulation,7,0.01
Heparin-Induced Thrombocytopenia and Thrombosis,7,0.01
Neutrino Physics Research,7,0.01
Phosphorus and nutrient management,7,0.01
Biomedical and Engineering Education,7,0.01
Artificial Intelligence in Law,7,0.01
Seed Germination and Physiology,6,0.01
Crime Patterns and Interventions,6,0.01
RNA regulation and disease,6,0.01
Optical Imaging and Spectroscopy Techniques,6,0.01
Lattice Boltzmann Simulation Studies,6,0.01
Diagnosis and Treatment of Venous Diseases,6,0.01
Scheduling and Optimization Algorithms,6,0.01
Organoboron and organosilicon chemistry,6,0.01
Contact Dermatitis and Allergies,6,0.01
Dental materials and restorations,6,0.01
Magnesium in Health and Disease,6,0.01
Streptococcal Infections and Treatments,6,0.01
Survey Methodology and Nonresponse,6,0.01
Gender Diversity and Inequality,6,0.01
Peroxisome Proliferator-Activated Receptors,6,0.01
Wastewater Treatment and Reuse,6,0.01
Aluminum Alloy Microstructure Properties,6,0.01
Bacterial Genetics and Biotechnology,6,0.01
Herpesvirus Infections and Treatments,6,0.01
Urinary Bladder and Prostate Research,6,0.01
Estrogen and related hormone effects,6,0.01
Bioeconomy and Sustainability Development,6,0.01
Prenatal Screening and Diagnostics,6,0.01
Drug-Induced Hepatotoxicity and Protection,6,0.01
Axial and Atropisomeric Chirality Synthesis,6,0.01
Infant Development and Preterm Care,6,0.01
Solar and Space Plasma Dynamics,6,0.01
HIV-related health complications and treatments,6,0.01
Geographies of human-animal interactions,6,0.01
Takotsubo Cardiomyopathy and Associated Phenomena,6,0.01
Forest Insect Ecology and Management,6,0.01
Viral Infections and Vectors,6,0.01
Financial Distress and Bankruptcy Prediction,6,0.01
Software System Performance and Reliability,6,0.01
Medication Adherence and Compliance,6,0.01
Biochemical Analysis and Sensing Techniques,6,0.01
"Financial Literacy, Pension, Retirement Analysis",6,0.01
Advancements in Semiconductor Devices and Circuit Design,6,0.01
Radiation Therapy and Dosimetry,6,0.01
Visual perception and processing mechanisms,6,0.01
Synthesis and Catalytic Reactions,6,0.01
Hydrocarbon exploration and reservoir analysis,6,0.01
Optical Network Technologies,6,0.01
Simulation-Based Education in Healthcare,6,0.01
Geographic Information Systems Studies,6,0.01
Advanced Data Processing Techniques,6,0.01
Employee Performance and Motivation,6,0.01
International Development and Aid,6,0.01
Dyeing and Modifying Textile Fibers,6,0.01
"Urban, Neighborhood, and Segregation Studies",6,0.01
Aging and Gerontology Research,6,0.01
Cognitive Science and Education Research,6,0.01
Economic and Social Issues,6,0.01
Translation Studies and Practices,6,0.01
Technostress in Professional Settings,6,0.01
Geochemistry and Elemental Analysis,6,0.01
Discourse Analysis in Language Studies,6,0.01
Silicon and Solar Cell Technologies,6,0.01
Organic Food and Agriculture,6,0.01
Autoimmune Neurological Disorders and Treatments,6,0.01
Collagen: Extraction and Characterization,6,0.01
Advanced Radiotherapy Techniques,6,0.01
Nuclear Structure and Function,6,0.01
Hormonal and reproductive studies,6,0.01
Sulfur-Based Synthesis Techniques,6,0.01
Student Assessment and Feedback,6,0.01
High-Temperature Coating Behaviors,6,0.01
Adrenal and Paraganglionic Tumors,6,0.01
Scientific Measurement and Uncertainty Evaluation,6,0.01
Developmental Biology and Gene Regulation,6,0.01
Prenatal Substance Exposure Effects,6,0.01
Parathyroid Disorders and Treatments,6,0.01
Coffee research and impacts,6,0.01
Modular Robots and Swarm Intelligence,6,0.01
Impact of AI and Big Data on Business and Society,6,0.01
Robotic Mechanisms and Dynamics,6,0.01
Biomedical Ethics and Regulation,6,0.01
Biblical Studies and Interpretation,6,0.01
Social Capital and Networks,6,0.01
"Bullying, Victimization, and Aggression",6,0.01
Innovative Energy Harvesting Technologies,6,0.01
Crystal Structures and Properties,6,0.01
Heat shock proteins research,6,0.01
Microbial Inactivation Methods,6,0.01
"HIV, Drug Use, Sexual Risk",6,0.01
Allergic Rhinitis and Sensitization,6,0.01
Genetics and Plant Breeding,6,0.01
Sustainability in Higher Education,6,0.01
AI and HR Technologies,6,0.01
Education and Character Development,6,0.01
Various Chemistry Research Topics,6,0.01
Nuclear reactor physics and engineering,6,0.01
Management and Optimization Techniques,6,0.01
Higher Education Learning Practices,6,0.01
Diversity and Career in Medicine,6,0.01
Nematode management and characterization studies,6,0.01
Allelopathy and phytotoxic interactions,6,0.01
Cancer Mechanisms and Therapy,6,0.01
earthquake and tectonic studies,6,0.01
Human Resource Development and Performance Evaluation,6,0.01
Advanced Data Compression Techniques,6,0.01
Radiopharmaceutical Chemistry and Applications,6,0.01
Biodiesel Production and Applications,6,0.01
Dermatological and COVID-19 studies,6,0.01
COVID-19 Digital Contact Tracing,6,0.01
Higher Education Governance and Development,6,0.01
Advanced Welding Techniques Analysis,6,0.01
